,level_0,State,County,Est. Citizen VAP,Active Registrations,Ballots Counted,Polling Places,Poll Workers,Year,Hours Open,Time to Vote
1726,1726,NC,Jones,7567,6474,4670,7,45,2004,12,35.027027027027025
1727,1727,NC,Lee,32760,27791,19787,13,166,2004,12,55.90673575129534
1728,1728,NC,Lenoir,42462,33999,23674,22,217,2004,12,101.09647058823529
1729,1729,NC,Lincoln,49291,41409,30206,29,216,2004,12,108.91282298961603
1730,1730,NC,McDowell,32382,23040,16376,17,114,2004,12,60.559871533353586
1731,1731,NC,Macon,24923,22363,15484,15,76,2004,12,36.701842246467535
1732,1732,NC,Madison,15446,14247,9606,12,101,2004,12,61.24649073554183
1733,1733,NC,Martin,18637,16441,10738,13,56,2004,12,31.87933341442647
1734,1734,NC,Mecklenburg,526468,448005,326092,190,2028,2004,12,619.2559921072485
1735,1735,NC,Mitchell,12447,11076,8029,9,46,2004,12,26.909813126297735
1736,1736,NC,Montgomery,19235,14673,10249,15,78,2004,12,57.40765980646041
1737,1737,NC,Moore,61270,51113,38731,24,236,2004,12,79.78401220800563
1738,1738,NC,Nash,65792,54791,38822,26,222,2004,12,75.84756898817345
1739,1739,NC,New Hanover,132149,119221,81333,46,387,2004,12,107.50901679220279
1740,1740,NC,Northampton,16470,13323,9030,20,71,2004,12,76.73371359951966
1741,1741,NC,Onslow,99044,63357,38233,23,277,2004,12,72.4000126266612
1742,1742,NC,Orange,87709,86639,65127,43,260,2004,12,92.90858725761773
1743,1743,NC,Pamlico,10129,8494,6072,8,41,2004,12,27.79988228369629
1744,1744,NC,Pasquotank,27407,22345,13768,13,88,2004,12,36.86028819475521
1745,1745,NC,Pender,33381,25678,17325,17,96,2004,12,45.758791230188095
1746,1746,NC,Perquimans,9132,7488,5042,7,32,2004,12,21.53558552543731
1747,1747,NC,Person,27923,20765,15547,14,79,2004,12,38.34729846865068
1748,1748,NC,Pitt,103839,76496,55070,39,455,2004,12,167.01831444370367
1749,1749,NC,Polk,14630,14240,9475,9,67,2004,12,30.486623130398147
1750,1750,NC,Randolph,97133,73444,52458,42,400,2004,12,164.69466948056368
1751,1751,NC,Richmond,33495,26301,16538,15,125,2004,12,51.3268952931336
1752,1752,NC,Robeson,86587,59018,35823,42,264,2004,12,135.2676256798658
1753,1753,NC,Rockingham,69126,54283,37599,31,224,2004,12,92.10227691400782
1754,1754,NC,Rowan,97918,77394,52594,46,221,2004,12,94.57355126300149
1755,1755,NC,Rutherford,47826,37054,24914,24,174,2004,12,81.1420860882472
1756,1756,NC,Sampson,43400,32444,22640,23,164,2004,12,83.70596393897365
1757,1757,NC,Scotland,26054,18942,11706,10,101,2004,12,38.38885076281476
1758,1758,NC,Stanly,43312,34983,25675,25,130,2004,12,66.88772010061743
1759,1759,NC,Stokes,34252,27149,20063,20,138,2004,12,73.19337016574586
1760,1760,NC,Surry,52566,40144,26827,29,90,2004,12,46.81031261676423
1761,1761,NC,Swain,10011,11187,5044,5,42,2004,12,13.514479799785484
1762,1762,NC,Transylvania,23353,20102,15827,18,152,2004,12,97.9913445754365
1763,1763,NC,Tyrrell,3164,2351,1592,5,17,2004,12,26.020408163265305
1764,1764,NC,Union,105619,88991,61936,46,368,2004,12,136.957928802589
1765,1765,NC,Vance,30098,24088,16040,16,105,2004,12,50.213790526796465
1766,1766,NC,Wake,492040,408581,359429,182,1732,2004,12,555.485263668003
1767,1767,NC,Warren,14984,13904,8027,14,71,2004,12,51.469255663430424
1768,1768,NC,Washington,9846,8100,5572,6,44,2004,12,23.463769904950006
1769,1769,NC,Watauga,35659,35419,24409,20,157,2004,12,63.828345567476
1770,1770,NC,Wayne,80347,57366,41062,30,258,2004,12,97.14295675213974
1771,1771,NC,Wilkes,50531,38504,28151,29,202,2004,12,109.53798208024932
1772,1772,NC,Wilson,53824,45759,31058,25,197,2004,12,77.49125874125875
1773,1773,NC,Yadkin,27285,21522,16003,12,70,2004,12,28.100171909120476
1774,1774,NC,Yancey,14078,13265,9733,11,69,2004,12,41.19402985074627
1775,1775,OH,Adams,21357,16354,12373,23,138,2004,12,139.7297462549679
1776,1776,OH,Allen,80861,61341,49944,49,556,2004,12,319.7756838707574
1777,1777,OH,Ashland,41199,29069,25739,45,260,2004,12,289.78328173374615
1778,1778,OH,Ashtabula,77521,53857,46438,63,508,2004,12,427.8450740837016
1779,1779,OH,Athens,52462,36001,30586,47,364,2004,12,342.14099216710184
1780,1780,OH,Auglaize,34772,32290,23293,18,214,2004,12,85.8889473847202
1781,1781,OH,Belmont,55365,43690,34095,77,415,2004,12,526.5981552264768
1782,1782,OH,Brown,33109,23052,20281,20,140,2004,12,87.45065718127792
1783,1783,OH,Butler,257200,209945,168976,174,1700,2004,12,1014.4322825869509
1784,1784,OH,Carroll,23000,16317,14415,22,104,2004,12,100.95354822894963
1785,1785,OH,Champaign,30041,21836,19080,18,116,2004,12,68.84462151394422
1786,1786,OH,Clark,107736,83455,70124,77,402,2004,12,267.04946319018404
1787,1787,OH,Clermont,138960,100085,89822,66,764,2004,12,362.7408428751274
1788,1788,OH,Clinton,31460,22896,18674,32,132,2004,12,132.82438747434162
1789,1789,OH,Columbiana,85271,78536,50357,87,412,2004,12,328.6053707169869
1790,1790,OH,Coshocton,28091,22679,17612,35,172,2004,12,191.11111111111111
1791,1791,OH,Crawford,34840,25058,22289,35,184,2004,12,185.03531665269963
1792,1792,OH,Cuyahoga,987064,787777,687260,584,5744,2004,12,3065.885465194509
1793,1793,OH,Darke,40090,29100,27027,38,190,2004,12,178.63303666540668
1794,1794,OH,Defiance,29410,22764,18853,29,168,2004,12,154.0891719745223
1795,1795,OH,Delaware,104722,92874,81175,63,585,2004,12,285.71305518169584
1796,1796,OH,Erie,59973,47994,40551,48,248,2004,12,178.57860193770185
1797,1797,OH,Fairfield,102697,91498,68742,69,474,2004,12,257.36150121859254
1798,1798,OH,Fayette,21121,16094,11953,32,153,2004,12,219.01957129543337
1799,1799,OH,Franklin,778853,638744,533575,514,4689,2004,12,2716.7416105018433
1800,1800,OH,Fulton,31406,24359,22231,23,144,2004,12,97.89162561576354
1801,1801,OH,Gallia,24116,23568,14391,27,140,2004,12,115.47371547371547
1802,1802,OH,Geauga,70896,60454,51054,49,481,2004,12,280.69936316268297
1803,1803,OH,Greene,116972,105079,80602,54,628,2004,12,232.36239055957367
1804,1804,OH,Guernsey,31243,22350,18183,28,157,2004,12,141.60977137488257
1805,1805,OH,Hamilton,596217,573612,433058,593,4215,2004,12,3137.3703176183244
1806,1806,OH,Hancock,55173,39466,35926,45,252,2004,12,206.87663110953454
1807,1807,OH,Hardin,24197,18921,13571,27,152,2004,12,156.16108233801924
1808,1808,OH,Harrison,12595,9658,8312,20,96,2004,12,143.12040583911377
1809,1809,OH,Henry,21758,17546,15405,17,132,2004,12,92.07727816720806
1810,1810,OH,Highland,31040,13045,18864,37,152,2004,12,310.3847922734938
1811,1811,OH,Hocking,21685,16639,13251,32,128,2004,12,177.23076923076923
1812,1812,OH,Holmes,27015,16610,11788,18,103,2004,12,80.36120642947445
1813,1813,OH,Huron,43769,32897,26129,37,220,2004,12,178.1506474557724
1814,1814,OH,Jackson,25042,19059,23998,20,152,2004,12,114.83735571878279
1815,1815,OH,Jefferson,56728,42229,37175,64,365,2004,12,398.276107032915
1816,1816,OH,Knox,44194,31396,27302,42,224,2004,12,215.7454533872663
1817,1817,OH,Lake,173274,142588,122862,103,1274,2004,12,662.6025850521429
1818,1818,OH,Lawrence,48581,31371,28419,50,336,2004,12,385.56674741807984
1819,1819,OH,Licking,114961,94663,80357,70,624,2004,12,332.2234429138849
1820,1820,OH,Logan,34685,29406,21715,38,208,2004,12,193.52127044581223
1821,1821,OH,Lorain,218927,166605,143043,127,1057,2004,12,580.1236450067825
1822,1822,OH,Lucas,331759,282723,221807,212,2542,2004,12,1372.4016355173244
1823,1823,OH,Madison,31143,17784,17784,31,176,2004,12,220.87826820354232
1824,1824,OH,Marion,50796,36532,29656,26,340,2004,12,174.22056770590973
1825,1825,OH,Medina,122994,118268,86016,63,696,2004,12,266.93858914846663
1826,1826,OH,Meigs,18099,13111,11037,25,108,2004,12,148.26113483831605
1827,1827,OH,Mercer,29998,25289,21332,18,166,2004,12,85.067615658363
1828,1828,OH,Miami,75890,60492,52178,51,328,2004,12,199.10006116410162
1829,1829,OH,Monroe,11661,9209,7989,29,116,2004,12,262.98371335504885
1830,1830,OH,Montgomery,412165,319945,287635,382,2686,2004,12,2309.006644871322
1831,1831,OH,Morgan,11381,9358,6901,20,88,2004,12,135.39908109840795
1832,1832,OH,Morrow,25653,24248,16694,25,144,2004,12,106.89100581467277
1833,1833,OH,Muskingum,64749,46351,39565,66,356,2004,12,364.970659302727
