,State,County,Unnamed: 0,Tract,Drive,Carpooled,Transit,Walked,Other,MBSA,Service,Office,Construction,Production,IRural,IConstruction,IManufacturing,IWholesale,IRetail,IUtilities,IInformation,IFinance,IProfessional,ISocial,IRecreation,IOther,IPublic
1544,missouri,ozark,1851985,47015.0,13070.0,1405.0,40.0,1475.0,205.0,4215.0,2940.0,3940.0,2935.0,3415.0,2260.0,2180.0,2560.0,195.0,2220.0,1010.0,20.0,730.0,655.0,3390.0,1075.0,425.0,725.0
1545,missouri,pemiscot,5556555,141105.0,26805.0,3270.0,0.0,765.0,270.0,7835.0,8705.0,6440.0,3450.0,6955.0,1615.0,1150.0,5805.0,950.0,2735.0,1985.0,730.0,1080.0,1415.0,9075.0,3200.0,1830.0,1815.0
1546,missouri,perry,4631150,117575.0,36825.0,5760.0,180.0,1695.0,490.0,10560.0,7805.0,11060.0,6410.0,10915.0,2185.0,4265.0,10595.0,730.0,5925.0,2840.0,385.0,2515.0,2300.0,8055.0,3705.0,2005.0,1245.0
1547,missouri,pettis,10190730,264330.0,73265.0,13570.0,320.0,1545.0,1085.0,22670.0,15400.0,21925.0,10560.0,24315.0,3440.0,6175.0,20570.0,2440.0,12145.0,5535.0,1795.0,2980.0,5005.0,19205.0,7420.0,4350.0,3810.0
1548,missouri,phelps,9266925,445275.0,73140.0,11060.0,325.0,4845.0,1675.0,35095.0,16705.0,25170.0,9555.0,11250.0,1430.0,6785.0,6395.0,1975.0,15010.0,5145.0,1910.0,4580.0,5530.0,29370.0,8775.0,4635.0,6235.0
1549,missouri,pike,4634400,115075.0,29345.0,4700.0,40.0,875.0,725.0,9805.0,8005.0,9700.0,4850.0,6245.0,1690.0,3850.0,5345.0,1175.0,5320.0,1630.0,320.0,2140.0,2435.0,7585.0,2815.0,1600.0,2700.0
1550,missouri,platte,18543850,30259.349999999995,194165.0,20110.0,1725.0,1350.0,2640.0,93420.0,31320.0,64365.0,16455.0,26025.0,1340.0,11320.0,22485.0,10385.0,27090.0,16500.0,8000.0,21760.0,28650.0,41305.0,18280.0,9285.0,15185.0
1551,missouri,polk,3709970,192050.0,48085.0,5995.0,255.0,2065.0,720.0,18660.0,10665.0,13370.0,8045.0,10725.0,2545.0,6190.0,4800.0,1810.0,8435.0,4495.0,410.0,2675.0,3455.0,16980.0,3585.0,3540.0,2545.0
1552,missouri,pulaski,8348895,211652.74999999997,72610.0,12090.0,645.0,1990.0,1990.0,23360.0,18580.0,17260.0,6885.0,9850.0,1685.0,3725.0,3925.0,580.0,10155.0,5020.0,810.0,2485.0,4275.0,14515.0,10580.0,3420.0,14760.0
1553,missouri,putnam,1855585,96015.0,8655.0,1255.0,75.0,75.0,110.0,3895.0,1875.0,2455.0,1635.0,1965.0,1795.0,1265.0,1440.0,315.0,1330.0,535.0,340.0,655.0,295.0,2260.0,440.0,525.0,630.0
1554,missouri,ralls,2783565,70530.0,19070.0,2955.0,0.0,715.0,90.0,6965.0,4080.0,5865.0,3310.0,4840.0,1000.0,2375.0,5260.0,640.0,2800.0,1250.0,285.0,1335.0,1400.0,5100.0,1425.0,745.0,1445.0
1555,missouri,randolph,5567805,147105.0,41200.0,4850.0,420.0,550.0,1075.0,13725.0,8055.0,14840.0,4675.0,9740.0,685.0,3695.0,6850.0,1845.0,7310.0,3920.0,1350.0,3205.0,2520.0,10345.0,2815.0,2810.0,3685.0
1556,missouri,ray,3712370,16030.0,43200.0,7225.0,410.0,305.0,410.0,14270.0,8440.0,12075.0,8445.0,12535.0,1710.0,4630.0,10170.0,1955.0,6830.0,4335.0,875.0,2295.0,3140.0,12915.0,2470.0,2565.0,1875.0
1557,missouri,reynolds,1856335,38015.0,8600.0,2020.0,20.0,325.0,450.0,2540.0,2205.0,1990.0,2555.0,3035.0,2270.0,1075.0,2030.0,130.0,1210.0,315.0,40.0,445.0,535.0,2835.0,685.0,305.0,450.0
1558,missouri,ripley,3712970,174050.0,18790.0,4285.0,10.0,795.0,430.0,6135.0,6540.0,5020.0,3870.0,4865.0,1415.0,2045.0,3945.0,620.0,2160.0,1790.0,130.0,645.0,1010.0,8230.0,1425.0,1890.0,1125.0
1559,missouri,saline,7427140,36180.0,41090.0,6250.0,110.0,1455.0,885.0,14705.0,9830.0,10380.0,6475.0,11630.0,3500.0,3120.0,10515.0,1550.0,5260.0,2495.0,575.0,2095.0,2065.0,13750.0,3845.0,2470.0,1780.0
